sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003837_D05,1922,Ascomycota,1523,79.2,NA,1315,"Basidiomycota(259),Basidiomycota(103),Basidiomycota(25),Basidiomycota(6),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Metazoa(2),MAST-3(1)"
GC1003837_D06,929,Ascomycota,739,79.5,NA,375,"Labyrinthulomycetes(105),Labyrinthulomycetes(51),Labyrinthulomycetes(20),Metazoa(5),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),MAST-3(1)"
GC1003837_D07,3901,Basidiomycota,3652,93.6,SLVAB451532,2838,"Ascomycota(115),Ascomycota(64),Ascomycota(19),Ascomycota(6),Ascomycota(3),Ascomycota(2),Ascomycota(1),Metazoa(25),Metazoa(3),Metazoa(1),Prymnesiophyceae(6),Prymnesiophyceae(4)"
GC1003837_D08,142,Basidiomycota,86,60.6,SLVAB451532,52,"Ascomycota(28),Ascomycota(17),Ascomycota(1),Metazoa(7),Metazoa(3)"
GC1003837_D09,395,Basidiomycota,301,76.2,SLVAF026586,130,"Metazoa(32),Metazoa(2),Metazoa(1),Metazoa(1),Ascomycota(18),Ascomycota(16),Ascomycota(11),Ascomycota(8),Ascomycota(4),Ascomycota(1)"
GC1003837_D10,29,Telonemia,25,86.2,NA,19,"Choanoflagellata(2),Ascomycota(1),Basidiomycota(1)"
GC1003837_D11,159,Labyrinthulomycetes,129,81.1,MPN190,129,"Basidiomycota(23),Basidiomycota(1),Ascomycota(4),Ascomycota(2)"
GC1003837_D12,458,Ascomycota,455,99.3,NA,394,"Basidiomycota(1),Basidiomycota(1),Telonemia(1)"
GC1003838_A01,3,Labyrinthulomycetes,2,66.7,NA,2,Ascomycota(1)
GC1003838_A02,36,MAST-3,34,94.4,NA,20,"Ascomycota(1),MAST-12(1)"
GC1003838_A03,151,MAST-1,139,92.1,MPN434,119,"Ascomycota(4),Ascomycota(2),Basidiomycota(3),Basidiomycota(3)"
GC1003838_A04,66,Kinetoplastea,36,54.5,SLVAY753608,30,"Choanoflagellata(22),Choanoflagellata(8)"
GC1003838_A05,3,Kinetoplastea,2,66.7,SLVGU820754,2,MAST-3(1)
GC1003838_A06,110,Basidiomycota,50,45.5,NA,40,"Labyrinthulomycetes(39),Ascomycota(17),Ascomycota(2),Ascomycota(1),MAST-3(1)"
GC1003838_A07,694,Kinetoplastea,693,99.9,SLVGU820754,686,Ascomycota(1)
GC1003838_A08,238,Basidiomycota,141,59.2,NA,98,"Ascomycota(91),Ascomycota(4),Ascomycota(1),Ascomycota(1)"
GC1003838_A09,13,Basidiomycota,12,92.3,SLVAF026586,12,Ascomycota(1)
GC1003838_A10,7,Metazoa,3,42.9,NA,3,"Cercozoa(1),Cercozoa(1),Cercozoa(1),Cercozoa(1)"
GC1003838_A11,117,MAST-1,116,99.1,MPN434,108,InSedStramenopiles(1)
GC1003838_A12,4,MAST-11,3,75,MPN337,3,Kinetoplastea(1)
GC1003838_B01,92,MAST-3,75,81.5,NA,56,"Basidiomycota(7),Ascomycota(2),Ascomycota(2),Ascomycota(2),MAST-6(2),Kinetoplastea(1),InSedStramenopiles(1)"
GC1003838_B02,10,Ascomycota,10,100,SLVJN546132,8,
