sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003832_G05,55,Ascomycota,30,54.5,SLVJN546132,26,"Basidiomycota(22),Basidiomycota(1),Basidiomycota(1),Streptophyta(1)"
GC1003833_A01,43,Basidiomycota,24,55.8,NA,21,"Ascomycota(6),Ascomycota(3),Ascomycota(2),Ascomycota(2),Ascomycota(2),Ascomycota(2),Ascomycota(1),Ascomycota(1)"
GC1003833_A02,2,Basidiomycota,2,100,MPN5707,2,
GC1003833_A03,2,Basidiomycota,2,100,MPN3277,2,
GC1003833_A04,1,Ascomycota,1,100,SLVJN546132,1,
GC1003833_A05,1,Ascomycota,1,100,SLVJN546132,1,
GC1003833_A06,3,Basidiomycota,3,100,NA,2,
GC1003833_A07,5,Ciliophora,4,80,NA,4,Ascomycota(1)
GC1003833_A08,2,Ascomycota,2,100,NA,1,
GC1003833_A09,17,Ascomycota,10,58.8,NA,4,"Basidiomycota(4),Basidiomycota(2),Basidiomycota(1)"
GC1003833_A10,9,Peronosporomycetes,7,77.8,NA,4,"Basidiomycota(1),Ascomycota(1)"
GC1003833_A11,28,Ascomycota,19,67.9,SLVJN546132,16,"Streptophyta(2),Streptophyta(1),Streptophyta(1),Streptophyta(1),Streptophyta(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1)"
GC1003833_A12,8,Ascomycota,3,37.5,NA,3,"Metazoa(3),Metazoa(1),Basidiomycota(1)"
GC1003833_B01,108,Chlorarachnea,65,60.2,MPN493,64,"Ascomycota(15),Ascomycota(10),Ascomycota(3),Ascomycota(2),Ascomycota(1),Basidiomycota(8),Basidiomycota(1),Metazoa(3)"
GC1003833_B02,98,Ascomycota,86,87.8,NA,45,"Chlorarachnea(11),Metazoa(1)"
GC1003833_B04,4,Basidiomycota,4,100,SLVAF026586,3,
GC1003833_B05,2,Streptophyta,1,50,MPN2292,1,Peronosporomycetes(1)
GC1003833_B07,4,BasalFungi,2,50,BMK14991,2,"Ascomycota(1),Basidiomycota(1)"
GC1003833_B08,2,Ascomycota,1,50,NA,1,Basidiomycota(1)
GC1003833_B09,3,Ascomycota,3,100,SLVJN546132,3,
GC1003833_B12,15,MAST-7,8,53.3,NA,5,"Ascomycota(3),Ascomycota(1),Basidiomycota(2),Basidiomycota(1)"
GC1003833_C01,1,Ascomycota,1,100,NA,1,
GC1003833_C02,1,Ascomycota,1,100,SLVFJ748919,1,
GC1003833_C03,1,Basidiomycota,1,100,SLVAB451532,1,
GC1003833_C05,4,Ascomycota,4,100,SLVJN546132,3,
GC1003833_C06,1,Ascomycota,1,100,SLVBD493748,1,
GC1003833_C07,3,Basidiomycota,3,100,MPN3382,3,
GC1003833_C09,1,Ascomycota,1,100,SLVZ49783,1,
GC1003833_C10,1,Ascomycota,1,100,NA,1,
GC1003833_C11,3,Ascomycota,2,66.7,SLVJN546132,1,Basidiomycota(1)
GC1003833_C12,3,Chlorarachnea,2,66.7,MPN493,2,Ascomycota(1)
GC1003833_D01,8,Basidiomycota,6,75,NA,5,"Ascomycota(1),Ascomycota(1)"
GC1003833_D03,2,Ascomycota,2,100,SLVBD493748,1,
GC1003833_D04,1,Ascomycota,1,100,SLVJQ301626,1,
GC1003833_D05,1,Ciliophora,1,100,MPN1255,1,
GC1003833_D06,1,MAST-3,1,100,BMK6615,1,
GC1003833_D07,1,Basidiomycota,1,100,NA,1,
GC1003833_D08,1,Basidiomycota,1,100,SLVAF026586,1,
GC1003833_D10,3,Chlorarachnea,3,100,MPN493,3,
GC1003833_D12,1,MAST-3,1,100,NA,1,
GC1003833_E01,3,Basidiomycota,1,33.3,NA,1,"Metazoa(1),Chlorarachnea(1)"
